#z_cmb mb dmb
0.0424849 16.92415 0.11995
0.142191 19.9345 0.12155
0.143828 20.0523 0.1219
0.145613 20.12375 0.14255
0.107374 19.52005 0.11295
0.12169 19.76995 0.1308
0.189318 20.92065 0.1527
0.197528 21.0223 0.14645
0.182064 21.0804 0.1546
0.151773 20.2809 0.1225
0.164536 20.5818 0.1167
0.186258 20.99445 0.14355
0.20898 21.45355 0.1665
0.0937103 19.10195 0.1007
0.175686 20.73185 0.12325
0.135546 19.944 0.1104
0.195605 21.24885 0.15475
0.192396 21.2481 0.14335
0.17237 20.70195 0.1319
0.200544 21.4064 0.1659
0.18374 20.861 0.12955
0.223041 21.45405 0.14295
0.247804 21.65335 0.14295
0.197271 21.128 0.1225
0.106991 19.65185 0.142
0.247504 22.21015 0.20955
0.173806 20.57655 0.1203
0.168634 20.7349 0.1164
0.221202 21.2982 0.13635
0.152873 20.13755 0.10565
0.20662 21.31275 0.1521
0.128723 19.8403 0.1023
0.246721 21.80515 0.13855
0.194698 21.3452 0.1569
0.182392 20.93075 0.1281
0.154413 20.58185 0.1376
0.132592 20.0024 0.10245
0.121312 19.70325 0.10245
0.171568 21.03995 0.18575
0.168683 20.64165 0.1209
0.165115 20.49105 0.129
0.18187 20.9356 0.1392
0.214497 21.30625 0.14505
0.157029 20.52515 0.11385
0.137433 19.83815 0.1054
0.179729 20.8854 0.1261
0.147877 20.4812 0.1283
0.196206 20.96025 0.1449
0.117901 19.59395 0.101
0.220656 21.4441 0.13595
0.147957 20.3284 0.1373
0.164089 20.70795 0.1369
0.269668 22.26255 0.14325
0.170551 20.5658 0.12095
0.148001 20.28215 0.12665
0.112468 19.526 0.1097
0.221184 21.474 0.15145
0.162184 20.5958 0.1361
0.0912065 18.95705 0.11145
0.272124 22.3047 0.0854
0.105442 19.35185 0.11365
0.161003 20.5315 0.1404
0.191311 21.01435 0.146
0.137046 19.99615 0.1245
0.0730183 18.7576 0.11205
0.121628 19.99935 0.13335
0.189358 20.88475 0.1537
0.135472 20.02475 0.15485
0.081161 18.4809 0.11615
0.115005 19.79635 0.12165
0.154141 20.3359 0.12625
0.204164 21.13985 0.14805
0.177976 20.8123 0.13625
0.126782 19.90865 0.1399
0.120129 19.58645 0.1105
0.170076 20.934 0.1568
0.269748 22.04745 0.1558
0.114449 19.61205 0.10875
0.210472 21.33225 0.14765
0.217558 21.3866 0.13915
0.148654 20.5056 0.1317
0.10214 19.1271 0.10675
0.100954 19.38095 0.1026
0.132945 19.8424 0.10465
0.164229 20.7379 0.13845
0.159056 20.88525 0.12885
0.15044 20.47675 0.1273
0.178517 20.7809 0.13945
0.156417 20.33785 0.1283
0.140761 20.0237 0.11915
0.204392 21.34695 0.16715
0.108576 19.58065 0.13445
0.141734 20.09405 0.10665
0.165554 20.6407 0.1317
0.211531 21.39935 0.16265
0.286112 22.165 0.1348
0.127141 19.6731 0.12755
0.0527881 17.56165 0.10915
0.183173 21.16495 0.15345
0.222528 21.42305 0.15585
0.155156 20.55265 0.14145
0.0938746 18.96075 0.10555
0.248663 22.03 0.19055
0.179251 20.76195 0.1415
0.208404 21.035 0.1514
0.139911 20.2483 0.1303
0.0965679 19.2184 0.10455
0.141653 20.0849 0.11585
0.0971225 19.24475 0.10865
0.114362 19.5083 0.1143
0.0561407 17.71775 0.12625
0.0393206 17.0528 0.11665
0.0167642 14.85645 0.1832
0.0150791 14.59755 0.1613
0.0145065 14.6158 0.14905
0.0260341 15.97105 0.16165
0.0170251 14.8718 0.1587
0.0424849 16.72085 0.19805
0.0154282 14.4307 0.15405
0.0241713 15.6593 0.1718
0.0366089 16.7664 0.13185
0.0290319 16.2413 0.123
0.0100186 13.90745 0.19825
0.0251511 16.1648 0.1376
0.0102734 14.0496 0.2048
0.0365253 16.5851 0.2001
0.0338818 16.45115 0.16785
0.0125212 14.4486 0.171
0.0246281 15.82815 0.13295
0.0187228 15.3534 0.14115
0.0337137 16.36835 0.1667
0.0286547 16.3438 0.12735
0.0330316 16.57565 0.1563
0.0390806 16.7928 0.1127
0.0698972 17.8882 0.1248
0.0528599 17.23215 0.12285
0.0246662 15.7896 0.1405
0.0338258 16.6581 0.12485
0.0276724 16.0051 0.13405
0.0317583 16.64085 0.12525
0.0326762 16.38795 0.1403
0.0439496 17.2822 0.1025
0.041604 16.93145 0.1209
0.053783 17.73355 0.1203
0.0198385 15.2868 0.12735
0.0309232 16.59205 0.12775
0.0398464 16.9967 0.1259
0.0257115 15.93305 0.1399
0.0258254 16.06745 0.1248
0.0261859 15.87545 0.126
0.0229509 15.6236 0.1338
0.0482264 17.57225 0.158
0.0393206 16.7302 0.1297
0.064345 18.16815 0.11055
0.0172377 14.9841 0.1341
0.0249325 15.8607 0.1496
0.0214211 15.53085 0.1381
0.030585 16.1279 0.14115
0.0640648 18.31035 0.1248
